transaction_id,cust_id,trans_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,Date
80712190438,270351,2-28-2014,1,1,-5,-772,405.3,-4265.3,e-Shop,2-28-2023
29258453508,270384,2-27-2014,5,3,-5,-1497,785.925,-8270.925,e-Shop,2-27-2023
51750724947,273420,2-24-2014,6,5,-2,-791,166.11,-1748.11,TeleShop,2-24-2023
93274880719,271509,2-24-2014,11,6,-3,-1363,429.345,-4518.345,e-Shop,2-24-2023
51750724947,273420,2-23-2014,6,5,-2,-791,166.11,-1748.11,TeleShop,2-23-2023
97439039119,272357,2-23-2014,8,3,-2,-824,173.04,-1821.04,TeleShop,2-23-2023
45649838090,273667,2-22-2014,11,6,-1,-1450,152.25,-1602.25,e-Shop,2-22-2023
22643667930,271489,2-22-2014,12,6,-1,-1225,128.625,-1353.625,TeleShop,2-22-2023
79792372943,275108,2-22-2014,3,1,-3,-908,286.02,-3010.02,MBR,2-22-2023
50076728598,269014,2-21-2014,8,3,-4,-581,244.02,-2568.02,e-Shop,2-21-2023
29258453508,270384,2-20-2014,5,3,5,1497,785.925,8270.925,e-Shop,2-20-2023
25455265351,267750,2-20-2014,12,6,3,1360,428.4,4508.4,e-Shop,2-20-2023
1571002198,275023,2-20-2014,6,5,4,587,246.54,2594.54,e-Shop,2-20-2023
43134751727,268487,2-20-2014,3,2,-1,-611,64.155,-675.155,e-Shop,2-20-2023
36554696014,269345,2-20-2014,3,5,3,1253,394.695,4153.695,e-Shop,2-20-2023
56814940239,268799,2-20-2014,7,5,5,368,193.2,2033.2,e-Shop,2-20-2023
54295803788,270787,2-20-2014,12,5,5,584,306.6,3226.6,e-Shop,2-20-2023
25963520987,274829,2-20-2014,4,4,3,502,158.13,1664.13,Flagship store,2-20-2023
17183929085,266863,2-20-2014,1,2,1,1359,142.695,1501.695,TeleShop,2-20-2023
44783317894,269452,2-20-2014,3,1,3,825,259.875,2734.875,TeleShop,2-20-2023
58957828601,269009,2-20-2014,11,5,4,846,355.32,3739.32,TeleShop,2-20-2023
9647515879,268934,2-20-2014,7,5,3,1384,435.96,4587.96,TeleShop,2-20-2023
20781077773,269223,2-20-2014,5,3,3,1203,378.945,3987.945,TeleShop,2-20-2023
91116291703,268509,2-20-2014,1,2,4,1243,522.06,5494.06,MBR,2-20-2023
68325723297,268516,2-20-2014,9,3,1,877,92.085,969.085,e-Shop,2-20-2023
73235813024,268774,2-20-2014,3,5,1,76,7.98,83.98,TeleShop,2-20-2023
80712190438,270351,2-20-2014,1,1,5,772,405.3,4265.3,e-Shop,2-20-2023
66989395597,272785,2-20-2014,10,3,2,474,99.54,1047.54,TeleShop,2-20-2023
88853694830,268444,2-20-2014,4,4,-3,-80,25.2,-265.2,MBR,2-20-2023
99581788104,267466,2-20-2014,3,2,1,96,10.08,106.08,Flagship store,2-20-2023
28396777609,269101,2-19-2014,4,1,4,1386,582.12,6126.12,TeleShop,2-19-2023
22391667321,270842,2-19-2014,1,2,5,723,379.575,3994.575,MBR,2-19-2023
51075317246,274987,2-19-2014,10,6,5,374,196.35,2066.35,MBR,2-19-2023
16199275450,275139,2-19-2014,4,2,1,173,18.165,191.165,MBR,2-19-2023
22698449434,269136,2-19-2014,7,5,5,189,99.225,1044.225,TeleShop,2-19-2023
13167171971,275149,2-19-2014,4,3,4,804,337.68,3553.68,MBR,2-19-2023
32130400636,269772,2-19-2014,12,6,3,229,72.135,759.135,e-Shop,2-19-2023
31384765864,267058,2-19-2014,3,2,1,793,83.265,876.265,e-Shop,2-19-2023
85894118953,271817,2-19-2014,3,2,3,1401,441.315,4644.315,e-Shop,2-19-2023
63407734630,271322,2-19-2014,3,2,5,1360,714,7514,Flagship store,2-19-2023
90740728864,268229,2-19-2014,4,2,5,984,516.6,5436.6,TeleShop,2-19-2023
82750983847,267544,2-19-2014,3,5,1,805,84.525,889.525,Flagship store,2-19-2023
67328698675,268755,2-19-2014,3,2,1,1018,106.89,1124.89,Flagship store,2-19-2023
80381707658,269407,2-19-2014,6,5,5,573,300.825,3165.825,e-Shop,2-19-2023
78709566028,273023,2-19-2014,10,6,2,1052,220.92,2324.92,e-Shop,2-19-2023
67079812295,271818,2-19-2014,10,3,2,1408,295.68,3111.68,MBR,2-19-2023
72427583709,268129,2-19-2014,4,4,1,885,92.925,977.925,Flagship store,2-19-2023
